fileNames,language,imports,numImages
633a007680114957e63563725c1cbf720e279b76.ipynb,python3,"["" pandas"", "" numpy"", "" matplotlib.pyplot"", "" seaborn"", ""sklearn.preprocessing StandardScaler"", ""sklearn.model_selection train_test_split"", ""sklearn.neighbors KNeighborsClassifier"", ""sklearn.metrics classification_report"", ""sklearn.metrics confusion_matrix""]",2
4c8b718b7c92cde58c2f1731a8cd239f2bd479cf.ipynb,python2,"["" cf"", "" cfplot""]",3
4e14d6acce0b3926cf368ae14eeb389196a8308a.ipynb,python3,"["" numpy"", "" pandas"", ""sklearn.preprocessing StandardScaler"", ""sklearn.decomposition PCA"", ""sklearn.cluster KMeans"", "" pickle"", "" matplotlib.pyplot"", "" seaborn""]",3
ee132bd26a87a258185f634d1622a571c1fc1ae8.ipynb,python2,"["" pandas"", "" numpy"", "" matplotlib.pyplot"", "" datetime"", ""sklearn.cross_validation KFold"", ""sklearn.metrics accuracy_score"", ""sklearn.linear_model LinearRegression""]",13
6e4dc4c44a46fb9c7fb1da20124119216a209ff1.ipynb,python3,"["" seaborn"", "" pandas"", "" numpy"", "" matplotlib.pyplot"", "" matplotlib.style"", ""statsmodels.tsa.stattools adfuller""]",3
1e64398ae717413ed60145d2a8a1b598c5fb8432.ipynb,python2,"["" os"", "" time"", ""MP.mat mech"", ""glob glob"", "" RS"", ""RS sfig_class"", ""RS analyze_proto"", ""RS sff_plot"", "" matplotlib"", ""MP progress_bar"", ""MP lib"", ""MP mat""]",1
2f43a0155c7e1b4d9c0de2b6a4736daaa061c52d.ipynb,python3,"["" pandas"", "" numpy"", "" matplotlib.pyplot"", "" seaborn"", ""sklearn.linear_model LinearRegression"", ""sklearn.tree DecisionTreeRegressor"", ""sklearn.ensemble RandomForestRegressor"", ""sklearn.metrics mean_squared_error"", ""sklearn.metrics roc_auc_score"", "" math""]",2
4fbda06d29eaa35d44a83a03f7d5a38093f7101b.ipynb,python3,"["" helper"", "" os"", ""glob glob"", "" pickle"", ""matplotlib pyplot"", ""distutils.version LooseVersion"", "" warnings"", "" tensorflow"", "" problem_unittests"", "" numpy""]",53
94d10558e2291c2f9b7ca54acd9851f22a969fe6.ipynb,python3,"["" os"", "" cv2"", "" time"", "" shutil"", "" random"", "" imageio"", "" scipy.misc"", "" numpy"", ""glob glob"", "" tensorflow"", "" utils.constants"", "" matplotlib.pyplot"", ""moviepy.editor VideoFileClip"", ""tensorflow.python.tools freeze_graph""]",20
7d75e6226a0dd5aa8a36382c83de72f9be4d2f85.ipynb,python3,"["" os"", "" sys"", "" logging"", "" itertools"", "" numpy"", "" scipy.stats"", ""functools reduce"", ""pdb set_trace"", "" tasks"", ""helpers storage"", "" matplotlib"", "" matplotlib.pyplot"", ""sys version_info""]",1
4857285a0acdfc034c3b6a49320a55d7ad48d2e7.ipynb,python3,"["" pandas"", "" numpy"", "" warnings"", "" seaborn"", "" matplotlib"", "" matplotlib.pyplot"", "" matplotlib.ticker"", ""matplotlib rcParams""]",7
48a2a338552a4d839fe5aa6f2485b027a74dc177.ipynb,python3,"["" pandas"", "" os"", "" seaborn"", "" matplotlib.pyplot"", "" scipy"", ""statsmodels.graphics.mosaicplot mosaic"", "" numpy"", ""sklearn.model_selection train_test_split"", ""sklearn.tree DecisionTreeClassifier"", ""sklearn tree"", ""IPython.display Image"", ""sklearn tree"", ""sklearn.tree export_graphviz"", ""IPython.display SVG"", ""IPython.display display"", ""sklearn.metrics confusion_matrix"", ""sklearn.metrics accuracy_score"", ""sklearn.metrics f1_score"", ""sklearn.metrics precision_score"", ""sklearn.metrics recall_score"", ""sklearn.metrics classification_report"", ""sklearn.metrics confusion_matrix"", ""pandas_ml ConfusionMatrix"", ""IPython.display Image"", ""sklearn tree"", "" pydotplus"", "" collections"", "" pydot"", ""graphviz Source"", ""IPython.display SVG"", ""sklearn.ensemble RandomForestClassifier"", ""IPython.display Image"", ""sklearn tree"", "" pydotplus"", "" collections"", "" pydot"", ""graphviz Source"", ""IPython.display SVG"", ""sklearn.linear_model LogisticRegression"", ""sklearn.metrics roc_auc_score"", ""sklearn.metrics roc_curve"", ""sklearn.neighbors KNeighborsClassifier"", ""sklearn.metrics roc_auc_score"", ""sklearn.metrics roc_curve"", ""sklearn.naive_bayes GaussianNB"", ""sklearn.metrics roc_auc_score"", ""sklearn.metrics roc_curve""]",84
7f47832a17323376cc9cece682a298bba4b56ebf.ipynb,python3,"["" pylab"", "" pandas"", "" requests"", "" json""]",1
d68749eb2a43d645181e584371d422c3de373d60.ipynb,python3,"["" pandas"", ""collections Counter"", "" datetime"", "" numpy"", "" warnings"", "" matplotlib.pyplot"", "" seaborn""]",5
314c8e81ac8d52a55f058c5b480b011d5336583b.ipynb,python3,"[""sklearn cluster"", ""sklearn datasets"", "" pandas"", "" matplotlib.pyplot"", ""mpl_toolkits.mplot3d Axes3D"", "" numpy"", "" csv"", ""sklearn.model_selection train_test_split"", "" random"", "" feedparser"", ""datetime datetime"", "" time"", "" nltk"", "" urllib.request"", "" json"", "" os"", ""pandas.io.json json_normalize"", "" datetime"", ""sklearn.linear_model LinearRegression"", ""sklearn.metrics r2_score"", "" nltk""]",1
94591902ae89a06ec9881937a93d3db8b09266c3.ipynb,python3,"["" tensorflow"", ""tensorflow keras"", "" numpy"", "" matplotlib.pyplot""]",6
2ef4b049c66eb945650b2df422b6614fdeb77031.ipynb,python3,"["" matplotlib.pyplot"", ""sklearn.datasets fetch_olivetti_faces"", ""sklearn svm"", ""sklearn.model_selection train_test_split"", "" numpy"", ""sklearn.model_selection GridSearchCV"", ""sklearn.decomposition PCA""]",5
